STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES
TS000060765,"GABES, TS",33.88,10.1,4.0,1957-01-01,0.0,",,E",13.2,"H,,S",15.2,",,E",6.8,",,E"
TS000060765,"GABES, TS",33.88,10.1,4.0,1957-01-02,0.0,",,E",10.7,"H,,S",16.0,",,E",9.0,",,E"
TS000060765,"GABES, TS",33.88,10.1,4.0,1957-01-03,5.4,",,E",9.3,"H,,S",12.1,",,E",6.8,",,E"
TS000060765,"GABES, TS",33.88,10.1,4.0,1957-01-04,0.0,",,E",13.0,"H,,S",16.0,",,E",8.9,",,E"
TS000060765,"GABES, TS",33.88,10.1,4.0,1957-01-05,0.0,",,E",13.2,"H,,S",16.1,",,E",9.2,",,E"
TS000060765,"GABES, TS",33.88,10.1,4.0,1957-01-06,0.0,",,E",11.4,"H,,S",15.5,",,E",8.9,",,E"
TS000060765,"GABES, TS",33.88,10.1,4.0,1957-01-07,0.0,",,E",11.5,"H,,S",18.1,",,E",5.6,",,E"
TS000060765,"GABES, TS",33.88,10.1,4.0,1957-01-08,0.0,",,E",13.6,"H,,S",15.9,",,E",11.9,",,E"
TS000060765,"GABES, TS",33.88,10.1,4.0,1957-01-09,0.0,",,E",10.7,"H,,S",16.4,",,E",4.9,",,E"
TS000060765,"GABES, TS",33.88,10.1,4.0,1957-01-10,0.0,",,E",10.2,"H,,S",17.1,",,E",2.8,",,E"
TS000060765,"GABES, TS",33.88,10.1,4.0,1957-01-12,0.0,",,E",9.6,"H,,S",14.7,",,E",3.7,",,E"
TS000060765,"GABES, TS",33.88,10.1,4.0,1957-01-13,0.0,",,E",9.8,"H,,S",13.9,",,E",4.7,",,E"
TS000060765,"GABES, TS",33.88,10.1,4.0,1957-01-15,0.0,",,E",8.8,"H,,S",18.1,",,E",1.6,",,E"
TS000060765,"GABES, TS",33.88,10.1,4.0,1957-01-16,0.0,",,E",12.8,"H,,S",14.0,",,E",8.2,",,E"
TS000060765,"GABES, TS",33.88,10.1,4.0,1957-01-18,0.0,",,E",8.0,"H,,S",13.9,",,I",1.1,",,I"
TS000060765,"GABES, TS",33.88,10.1,4.0,1957-01-19,0.0,",,E",4.0,"H,,S",13.0,",,E",-2.7,",,E"
TS000060765,"GABES, TS",33.88,10.1,4.0,1957-01-20,0.0,",,E",5.8,"H,,S",13.0,",,E",-1.9,",,E"
TS000060765,"GABES, TS",33.88,10.1,4.0,1957-01-21,7.1,",,E",12.5,"H,,S",13.3,",,E",10.7,",,E"
TS000060765,"GABES, TS",33.88,10.1,4.0,1957-01-23,0.0,",,E",10.0,"H,,S",12.8,",,E",6.7,",,E"
TS000060765,"GABES, TS",33.88,10.1,4.0,1957-01-24,0.0,",,E",9.7,"H,,S",14.2,",,E",4.9,",,E"
TS000060765,"GABES, TS",33.88,10.1,4.0,1957-01-25,0.0,",,E",11.0,"H,,S",17.0,",,E",5.1,",,E"
TS000060765,"GABES, TS",33.88,10.1,4.0,1957-01-26,0.3,",,E",11.4,"H,,S",15.1,",,E",3.9,",,E"
TS000060765,"GABES, TS",33.88,10.1,4.0,1957-01-27,0.0,",,E",11.7,"H,,S",14.3,",,E",7.8,",,E"
TS000060765,"GABES, TS",33.88,10.1,4.0,1957-01-28,0.0,",,E",12.2,"H,,S",17.1,",,E",6.1,",,E"
TS000060765,"GABES, TS",33.88,10.1,4.0,1957-01-29,0.0,",,E",11.8,"H,,S",14.9,",,E",6.6,",,E"
TS000060765,"GABES, TS",33.88,10.1,4.0,1957-01-31,0.0,",,E",7.7,"H,,S",15.8,",,E",2.0,",,E"
TS000060765,"GABES, TS",33.88,10.1,4.0,1957-02-02,0.0,",,E",10.0,"H,,S",15.0,",,E",0.8,",,E"
TS000060765,"GABES, TS",33.88,10.1,4.0,1957-02-04,0.0,",,E",9.2,"H,,S",13.3,",,E",2.3,",,E"
TS000060765,"GABES, TS",33.88,10.1,4.0,1957-02-05,0.0,",,E",11.7,"H,,S",17.8,",,E",5.4,",,E"
TS000060765,"GABES, TS",33.88,10.1,4.0,1957-02-06,0.0,",,E",10.9,"H,,S",19.0,",,E",3.4,",,E"
TS000060765,"GABES, TS",33.88,10.1,4.0,1957-02-07,0.0,",,E",15.7,"H,,S",21.0,",,E",8.8,",,E"
